Modelo,MAE,RMSE,R2,CV Mean R2
SVR,2.7974023146565483,4.313773832460331,-1.2455949338162418,-0.06277016217376892
Lasso,7.608988305342453,9.938531011901576,-10.919583241923856,-4.525995718976349
Ridge,7.91500501640214,10.381812711977673,-12.00657819870592,-4.594205251044043
Linear Regression,8.050157938665267,10.601913182395915,-12.563918248156279,-4.648490003577519
KNN,4.304193548387097,17.127695172891297,-34.400918208587875,-2.3091975147961152
Random Forest,6.421550341021327,20.863352109861438,-51.52727266996722,-1.3847867918863306
Gradient Boosting,6.720115121662429,34.48143303295761,-142.47865264487484,-3.871289280444553
