Modelo,R² Train,R² Test,Diferencia
SVR,0.11903637130281575,-1.2455949338162418,1.3646313051190575
Lasso,0.06891404559857706,-10.919583241923856,10.988497287522433
Ridge,0.06978349341411605,-12.00657819870592,12.076361692120036
Linear Regression,0.06992320691544363,-12.563918248156279,12.633841455071723
KNN,0.265564770787461,-34.400918208587875,34.66648297937534
Random Forest,0.8681054176022454,-51.52727266996722,52.39537808756946
Gradient Boosting,0.9998835358484356,-142.47865264487484,143.47853618072327
