mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_subsample,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_depth,param_learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1830273151397705,0.010356250602541,0.001800680160522461,0.0004006149761308445,1.0,200,5,2,5,0.05,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 5, 'learning_rate': 0.05}",-2.249903644373085,-0.7833127571261995,0.2215489302455117,-0.16808980062121104,-3.368189021359391,-1.2695892586468749,1.3444996280590091,8
0.07092533111572266,0.014582545464673507,0.0,0.0,0.8,50,5,1,9,0.1,"{'subsample': 0.8, 'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 9, 'learning_rate': 0.1}",-3.108949460079562,-6.678437449008402,0.13036101979529668,-0.24057050480931896,-1.4766630855229597,-2.2748518959249893,2.4757923901285315,17
0.09965686798095703,0.0031687608386188936,0.0016003131866455078,0.0004900190416379741,0.8,100,5,4,5,0.05,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 0.05}",-2.8463562781002847,-0.36702809666293,0.21373451073106842,0.21726430662996699,-2.682552452886101,-1.092987602057656,1.382195216086373,5
0.20345888137817383,0.021523693247907927,0.001799774169921875,0.00040016251023930867,0.8,200,5,4,5,0.15,"{'subsample': 0.8, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 0.15}",-5.468957101125532,-1.3691816762803795,0.26050611110148736,0.06554757490818408,-2.4894646324691676,-1.8003099447730815,2.090366705876338,15
0.10999522209167481,0.011223287871053129,0.00279998779296875,0.0016000275497481322,0.6,100,2,4,9,0.1,"{'subsample': 0.6, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 9, 'learning_rate': 0.1}",-6.550049632778782,-0.7735166381012633,0.18786153482859302,0.5047531615263521,-1.70958730721058,-1.6681077763471361,2.561301110180157,10
0.14344277381896972,0.023508620991107086,0.0019999027252197267,0.0006324851792762615,0.8,150,10,2,3,0.1,"{'subsample': 0.8, 'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 3, 'learning_rate': 0.1}",-4.150894096750312,-1.483148371664191,0.2499575816393662,0.3795881240975646,-3.8891969239569786,-1.7787387373269101,1.946407566074557,14
0.16314034461975097,0.024185864812010925,0.0026009082794189453,0.0013562343834205212,1.0,200,5,1,3,0.01,"{'subsample': 1.0, 'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 3, 'learning_rate': 0.01}",-0.34706989086363693,-5.788085539516432,0.25635616199640443,-0.5255567947334374,-2.236824141939452,-1.7282360410113107,2.1924280295096694,12
0.11746621131896973,0.01672152367981702,0.0020004749298095704,0.0006324100444768907,0.8,100,5,4,9,0.05,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 9, 'learning_rate': 0.05}",-3.6243724828217747,-0.34273985825721365,0.22019892196599677,0.267351341121417,-2.7010968091789977,-1.2361317774341145,1.614269241864758,7
0.06803350448608399,0.002569776475710856,0.0017998218536376953,0.00039994720552788215,0.8,100,10,4,3,0.1,"{'subsample': 0.8, 'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 3, 'learning_rate': 0.1}",-3.8347406413504315,-0.8135305750489978,0.259395757150065,0.3942631908704356,-2.0097380908869558,-1.200870071853177,1.5759695398113343,6
0.20189962387084961,0.007308377287688165,0.0019999980926513673,0.0006324856322366436,1.0,150,2,1,9,0.05,"{'subsample': 1.0, 'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 9, 'learning_rate': 0.05}",-9.945769853495982,-7.592310050479885,0.05260580115614366,-1.1985635101839067,-7.7812587831625475,-5.293059279233235,3.9614754151135663,20
0.08443331718444824,0.0031223875209662644,0.001599884033203125,0.0007993461603794844,1.0,100,2,4,5,0.15,"{'subsample': 1.0, 'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 5, 'learning_rate': 0.15}",-3.6976320420373794,-0.6849726407747876,0.22768984389840274,0.4701607525514334,-4.217206410396102,-1.5803920993516865,1.9855073913025625,9
