mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06969094276428223,0.0048098715301356345,0.026126813888549805,0.0045971417086031535,5,1,2,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",-3.042128435895382,-1.6133478746618999,0.2034257745141559,0.1532867944543459,-3.1585487047146694,-1.4914624892606896,1.468090174883435,103
0.12308158874511718,0.012956125855825742,0.03761587142944336,0.016256309955384053,5,1,2,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-2.5762099470190005,-1.657311481369511,0.21304928936806078,0.30370491629428165,-3.7339812912243486,-1.4901497027901036,1.5723263855107616,102
0.226625394821167,0.02247930458149794,0.03691287040710449,0.005581323132486518,5,1,2,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-3.1222830485269233,-1.7431919438355172,0.21872808293159374,0.39258958902823093,-3.4647394663128956,-1.5437793573431022,1.617249776409363,104
0.08543562889099121,0.013818434447129185,0.019293451309204103,0.003582184967608715,5,1,5,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",-2.557768184119928,-1.787173725108544,0.18534924476015058,0.1547458658385199,-2.950266187238074,-1.3910225971735752,1.328444193729226,95
0.11521697044372559,0.010208375081927542,0.024000263214111327,0.00825298212406871,5,1,5,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-2.068238616380248,-1.6914420581295726,0.19478762031350028,0.3016565433534002,-3.3123113276313587,-1.3151095676948557,1.3850174405698772,92
0.20859885215759277,0.007727169196021793,0.03394465446472168,0.002058447875005382,5,1,5,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-2.122185540011657,-1.9183088648243292,0.20625195466542423,0.36178130541444087,-3.1079087386473603,-1.3160739766806961,1.3679070959775577,93
0.07531723976135254,0.013667712237120757,0.03657665252685547,0.008788961618559755,5,1,10,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",-2.699678392862942,-1.2269834484372892,0.017088644043913748,0.18567531988467012,-1.124532984127765,-0.9696861722998825,1.0384254640986943,61
0.10963573455810546,0.015037351154246198,0.026118659973144533,0.01258108557462151,5,1,10,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",-2.033505644261026,-1.1399731710908028,0.03320355639577233,0.20181973943308662,-1.4490028928382794,-0.87749168247225,0.8632692324928812,52
0.23413996696472167,0.028804823374685713,0.039947128295898436,0.014895962405336218,5,1,10,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",-1.74919772523257,-1.1038378098709782,0.03435549703683638,0.22101920491841365,-1.5670135560555258,-0.8329348778407649,0.8142247002913516,46
0.0765571117401123,0.015154883167270098,0.026277446746826173,0.008706061809967988,5,2,2,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",-2.309972436165103,-0.2962338507869935,0.11823654079303425,0.36401823968088565,-2.46603044883719,-0.9179963910630733,1.2196668080391235,57
0.11950969696044922,0.012463213194858809,0.025365066528320313,0.006786508810862626,5,2,2,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-2.0810232497316665,-0.4991017152342505,0.1311347946378435,0.3906832419382982,-3.2829746032986877,-1.0682563063376926,1.4015459024750185,84
0.21748566627502441,0.010387472610679913,0.0548133373260498,0.0109466544851756,5,2,2,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-2.142840668778832,-0.5229071939688361,0.14071936623133752,0.40423055233835636,-3.1252779152802113,-1.0492151718916372,1.3646612772298796,82
0.06698346138000488,0.006681632164260909,0.03234453201293945,0.008996886123781817,5,2,5,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",-2.4355705604347877,-0.35865132737882743,0.10986546231537297,0.32627153546686194,-2.6938812415711024,-1.0103932263204964,1.2908665344542671,76
0.11889519691467285,0.018637562266078274,0.020470476150512694,0.008310609163798187,5,2,5,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-1.9987787933656005,-0.48530342174292795,0.12253392582127443,0.353313519971301,-3.3301281432396834,-1.0676725825111273,1.3971836540342295,83
0.23277673721313477,0.03271037575066576,0.036516332626342775,0.0034412610108563563,5,2,5,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",-1.8740657167767383,-0.5285184065476984,0.13331336507217406,0.3622183009729799,-3.2619500251281295,-1.0338004964814824,1.3591930842621922,80
0.06186943054199219,0.006311301597150489,0.026294469833374023,0.006887864648777112,5,2,10,50,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",-2.5467958068959167,-0.9809004869631566,0.017391965743515092,0.21842650361254057,-1.1272186136323619,-0.8838192876270761,0.9860310747954254,53
0.11948127746582031,0.030945397741495087,0.029221534729003906,0.00758435401036512,5,2,10,100,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",-1.834517454175539,-0.9101392505528063,0.032390992836783705,0.2368813607825997,-1.450308618340519,-0.785138593889896,0.808968692957949,41
0.20597872734069825,0.013315598354940245,0.03903355598449707,0.0048392268209913915,5,2,10,200,"{'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}",-1.6308365958263948,-0.7813596131541423,0.033991173290769505,0.2543173183293692,-1.5661004499052646,-0.7379976334531326,0.7830008467301028,38
0.06859340667724609,0.013517580955492874,0.02316703796386719,0.005190516660857572,5,4,2,50,"{'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2, 'n_estimators': 50}",-1.758862453184872,-0.884980425227726,0.034817941149411946,0.2873943678883387,-1.3056818712055174,-0.725462488116073,0.7789635850868125,32
